Study,Colony,State,Mass (g),Metabolic rate (W)
Experiment,pcp1101,Whole-colony,0.6124,0.001777
Experiment,pcp1105,Whole-colony,0.9672,0.003075
Experiment,pcp1107,Whole-colony,1.1173,0.003973
Experiment,pcp1113,Whole-colony,1.6416,0.006942
Experiment,pcp1114,Whole-colony,0.8602,0.003254
Experiment,pcp1121,Whole-colony,1.4602,0.004699
Experiment,pcp1123,Whole-colony,0.3185,0.001403
Experiment,pcp1128,Whole-colony,1.6995,0.004824
Experiment,pcp1131,Whole-colony,0.8426,0.003745
Experiment,pcp1143,Whole-colony,1.0793,0.003121
Experiment,pcp1147,Whole-colony,1.4032,0.005097
Experiment,pcp1154,Whole-colony,1.211,0.003279
Experiment,pcp1101,Size-reduced,0.3177,0.001172
Experiment,pcp1105,Size-reduced,0.5,0.002349
Experiment,pcp1107,Size-reduced,0.5543,0.001742
Experiment,pcp1113,Size-reduced,0.7891,0.003189
Experiment,pcp1114,Size-reduced,0.4198,0.002402
Experiment,pcp1121,Size-reduced,0.7302,0.002633
Experiment,pcp1123,Size-reduced,0.1634,0.000858
Experiment,pcp1128,Size-reduced,0.8441,0.002622
Experiment,pcp1131,Size-reduced,0.3842,0.001731
Experiment,pcp1143,Size-reduced,0.5524,0.002578
Experiment,pcp1147,Size-reduced,0.7115,0.002461
Experiment,pcp1154,Size-reduced,0.6279,0.0024
Control,pcp1101,Control-a,0.9472,0.003179
Control,pcp1105,Control-a,0.7152,0.002569
Control,pcp1114,Control-a,0.5741,0.002715
Control,pcp1128,Control-a,1.647,0.004523
Control,pcp1143,Control-a,1.0067,0.003325
Control,pcp1154,Control-a,1.1863,0.003655
Control,pcp1101,Control-b,0.9527,0.002861
Control,pcp1105,Control-b,0.7381,0.002548
Control,pcp1114,Control-b,0.6466,0.0021
Control,pcp1128,Control-b,1.5027,0.004071
Control,pcp1143,Control-b,0.9517,0.002955
Control,pcp1154,Control-b,1.0038,0.003424
